squareMeters,floor,buildYear,poiCount,price_per_m2,clinicDistance_binned,kindergartenDistance_binned,collegeDistance_binned,pharmacyDistance_binned,centreDistance_binned,price_per_m2_log,hasParkingSpace_yes,hasBalcony_yes,hasElevator_no,hasElevator_yes,type_blockOfFlats,type_tenement,condition_premium,condition_standard
41.0,1.0,2001.0,17.0,18293.0,1,0,3,0,4,9.814273751991298,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
50.42,1.0,1961.0,27.0,15153.0,3,0,1,0,9,9.625953811136162,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
49.18,2.0,2009.0,9.0,14843.0,0,0,3,0,6,9.605283652624765,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0
57.17,2.0,1960.0,0.0,14483.0,4,2,6,3,9,9.580730826800856,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0
78.3,6.0,2006.0,14.0,17752.0,1,0,4,0,5,9.78425346461243,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
46.7,3.0,1922.0,40.0,14111.0,1,1,1,0,1,9.55470991405776,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
75.62,8.0,1997.0,11.0,14500.0,1,0,1,0,5,9.581903928408666,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0
56.6,3.0,1998.0,14.0,13975.0,1,0,2,0,5,9.5450252980233,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0
36.03,1.0,1965.0,15.0,15543.0,1,0,1,0,4,9.651365655482898,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0
58.5,3.0,2017.0,20.0,13162.0,0,0,1,0,3,9.485089169016064,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
49.57,1.0,1980.0,10.0,14706.0,1,0,4,0,6,9.596010852756168,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
46.0,6.0,2000.0,12.0,14543.0,1,0,1,0,8,9.58486505717771,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
50.65,3.0,1920.0,45.0,24679.0,0,0,0,0,2,10.113707958559848,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
35.0,5.0,2013.0,7.0,16614.0,1,0,2,0,7,9.718000992399016,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0
54.61,2.0,1920.0,45.0,25399.0,0,0,0,0,1,10.142465082152865,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
36.38,3.0,1960.0,15.0,14816.0,1,0,1,0,4,9.603462956885961,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
32.87,2.0,2022.0,3.0,19900.0,3,0,2,0,6,9.898475010712584,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
39.88,3.0,2019.0,45.0,21000.0,0,0,0,0,0,9.95227771670556,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
35.5,4.0,1980.0,25.0,16500.0,0,0,0,0,2,9.711115659888671,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0
61.6,1.0,1999.0,6.0,18000.0,1,0,2,1,3,9.798127036878302,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
36.6,2.0,2000.0,17.0,13251.0,1,0,1,0,8,9.491828300264636,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
39.88,3.0,1920.0,45.0,21000.0,0,0,1,0,0,9.95227771670556,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
42.03,4.0,2021.0,5.0,16274.0,2,0,9,0,9,9.697324021256602,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0
88.0,1.0,1922.0,45.0,25000.0,1,0,0,0,0,10.126631103850338,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
51.2,3.0,1968.0,12.0,12676.0,1,0,4,0,6,9.447465720810811,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0
38.0,2.0,1970.0,20.0,18947.0,1,0,1,0,5,9.849400886632361,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0
46.99,3.0,1992.0,22.0,14024.0,0,0,0,0,7,9.54852542660107,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0
58.51,1.0,2010.0,17.0,22201.0,1,0,1,0,3,10.007892611890918,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
64.0,4.0,2000.0,23.0,12969.0,2,0,2,0,7,9.470317173335742,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
